State,Year,CO2/Wh
WA,2020,0.000586
WV,2020,0.00135
WI,2020,0.00141
WY,2020,0.00132
AL,2021,0.0007588
AK,2021,0.00602
AZ,2021,0.000761
AR,2021,0.00101
CA,2021,0.001644
CO,2021,0.00149
CT,2021,0.000824
DE,2021,0.00294
DC,2021,0.012
FL,2021,0.0009093
GA,2021,0.0009953
HI,2021,0.00187
ID,2021,0.00121
IL,2021,0.001009
IN,2021,0.001757
IA,2021,0.00106
KS,2021,0.00105
KY,2021,0.001585
LA,2021,0.001903
ME,2021,0.00131
MD,2021,0.00137
MA,2021,0.00288
MI,2021,0.001275
MN,2021,0.0014
MS,2021,0.000926
MO,2021,0.001513
MT,2021,0.00114
NE,2021,0.00124
NV,2021,0.000943
NH,2021,0.000772
NJ,2021,0.00144
NM,2021,0.0013
NY,2021,0.001263
NC,2021,0.0008863
ND,2021,0.0013
OH,2021,0.001534
OK,2021,0.00108
OR,2021,0.000627
PA,2021,0.0008855
RI,2021,0.00114
SC,2021,0.000701
SD,2021,0.000869
TN,2021,0.00116
TX,2021,0.001374
UT,2021,0.00146
VT,2021,0.0026
VA,2021,0.00105
WA,2021,0.000663
WV,2021,0.00134
WI,2021,0.00144
WY,2021,0.00125
AL,2022,0.0007548
AK,2022,0.00617
AZ,2022,0.000778
AR,2022,0.000959
CA,2022,0.001604
CO,2022,0.00153
CT,2022,0.00086
DE,2022,0.00239
DC,2022,0.017
FL,2022,0.0008922
GA,2022,0.0009863
HI,2022,0.00194
ID,2022,0.00127
IL,2022,0.0009917
IN,2022,0.001664
IA,2022,0.000979
KS,2022,0.000999
KY,2022,0.001585
LA,2022,0.001818
ME,2022,0.00117
MD,2022,0.00136
MA,2022,0.00282
MI,2022,0.00131
MN,2022,0.00143
MS,2022,0.00096
MO,2022,0.001422
MT,2022,0.00109
NE,2022,0.00118
NV,2022,0.000948
NH,2022,0.000736
NJ,2022,0.00142
NM,2022,0.00114
NY,2022,0.001327
NC,2022,0.0008686
ND,2022,0.00128
OH,2022,0.001445
OK,2022,0.00103
OR,2022,0.000613
PA,2022,0.0008924
RI,2022,0.0013
SC,2022,0.000682
SD,2022,0.000874
TN,2022,0.00117
TX,2022,0.001262
UT,2022,0.00152
VT,2022,0.0025
VA,2022,0.00108
WA,2022,0.00064
WV,2022,0.0014
WI,2022,0.00148
WY,2022,0.00121
